site;plot;id;recruits;adults
Bordjies ;B1;Q1;45;5
Bordjies ;B1;Q2;13;5
Bordjies ;B1;Q3;9;0
Bordjies ;B1;Q4;35;3
Bordjies ;B1;Q5;17;8
Bordjies ;B1;Q6;2;0
Bordjies ;B1;Q7;72;4
Bordjies ;B1;Q8;27;1
Bordjies ;B2;Q9;24;4
Bordjies ;B2;Q10;6;0
Bordjies ;B2;Q11;28;4
Bordjies ;B2;Q12;42;7
Bordjies ;B2;Q13;11;0
Bordjies ;B2;Q14;12;4
Bordjies ;B2;Q15;0;0
Bordjies ;B2;Q16;19;2
Oudekraal;O1;Q17;0;5
Oudekraal;O1;Q18;0;3
Oudekraal;O1;Q19;0;0
Oudekraal;O1;Q20;0;11
Oudekraal;O1;Q21;1;7
Oudekraal;O1;Q22;5;6
Oudekraal;O1;Q23;3;5
Oudekraal;O1;Q24;7;13
Oudekraal;O2;Q25;0;4
Oudekraal;O2;Q26;0;1
Oudekraal;O2;Q27;0;11
Oudekraal;O2;Q28;3;1
Oudekraal;O2;Q29;32;5
Oudekraal;O2;Q30;4;9
Oudekraal;O2;Q31;5;9
Oudekraal;O2;Q32;13;13
Betty's Bay;Y1;Q33;0;7
Betty's Bay;Y1;Q34;0;3
Betty's Bay;Y1;Q35;0;2
Betty's Bay;Y1;Q36;0;10
Betty's Bay;Y1;Q37;0;4
Betty's Bay;Y1;Q38;0;8
Betty's Bay;Y1;Q39;0;13
Betty's Bay;Y1;Q40;0;4
Betty's Bay;Y2;Q41;0;4
Betty's Bay;Y2;Q42;0;4
Betty's Bay;Y2;Q43;0;1
Betty's Bay;Y2;Q44;0;1
Betty's Bay;Y2;Q45;0;4
Betty's Bay;Y2;Q46;0;3
Betty's Bay;Y2;Q47;0;3
Betty's Bay;Y2;Q48;0;3
